Date,Open,High,Low,Close,Volume
10/4/2023 16:00:00,167.17,170.19,166.92,169.45,861687
10/5/2023 16:00:00,173.82,174.36,172.16,173.04,485941
10/6/2023 16:00:00,172.65,173.7,169.91,173.18,366164
10/9/2023 16:00:00,172.5,174.17,171.97,174.12,138150
10/10/2023 16:00:00,176.5,177.51,176,177.15,240518
10/11/2023 16:00:00,178.38,178.57,177,178.03,146753
10/12/2023 16:00:00,182.58,182.96,180.48,181.6,344070
10/13/2023 16:00:00,179.13,179.47,177.07,177.68,273535
10/16/2023 16:00:00,178.19,179.62,178.19,179.1,197738
10/17/2023 16:00:00,177.81,179.68,177.63,178.22,561420
10/18/2023 16:00:00,177.15,177.75,175.65,175.98,252231
10/19/2023 16:00:00,176.62,176.88,174.44,174.7,313166
10/20/2023 16:00:00,174.53,174.8,173.23,173.48,196784
10/23/2023 16:00:00,173.05,175.05,172.48,173.81,182015
10/24/2023 16:00:00,173.22,174.5,173.21,174.12,185279
10/25/2023 16:00:00,176.24,176.88,175.04,175.18,237919
10/26/2023 16:00:00,172.96,173.56,171.37,171.61,214943
10/27/2023 16:00:00,175.35,175.49,172.27,172.81,283328
10/30/2023 16:00:00,172.27,172.93,170.49,171.4,251991
10/31/2023 16:00:00,174.04,175.22,173.6,175.18,334476
11/1/2023 16:00:00,180.9,186.35,180.63,185.78,711051
11/2/2023 16:00:00,184.96,186.72,183.37,186.55,418876
11/3/2023 16:00:00,187.55,189.87,187.55,189.59,310701
11/6/2023 16:00:00,190.23,190.56,189.04,189.65,223565
11/7/2023 16:00:00,188.52,189.62,187.56,189.57,254149
11/8/2023 16:00:00,184.68,184.82,182.82,183.42,393868
11/9/2023 16:00:00,186.47,186.94,183.88,184.22,225155
11/10/2023 16:00:00,185.69,187.1,184.13,187,209108
11/13/2023 16:00:00,185.51,188,185.18,187.74,246510
11/14/2023 16:00:00,190.39,192.11,189.58,192.08,453426
11/15/2023 16:00:00,189,190.46,188.84,189.11,296628
11/16/2023 16:00:00,190.26,190.82,189.53,190.4,171685
11/17/2023 16:00:00,191.92,193.43,191.84,193.36,255574
11/20/2023 16:00:00,186.77,188.53,185.82,187.68,514669
11/21/2023 16:00:00,185.25,185.39,181.51,183.21,586591
11/22/2023 16:00:00,184.18,184.59,183.4,184.23,184644
11/24/2023 13:00:00,187.44,188.5,187.17,188.3,213978
11/27/2023 16:00:00,186.1,186.96,186.1,186.61,245394
11/28/2023 16:00:00,185.81,187.32,185.81,187.16,228422
11/29/2023 16:00:00,190.61,191.24,189.38,189.51,318741
11/30/2023 16:00:00,189.53,190,189.13,189.78,189607
12/1/2023 16:00:00,190.77,192.81,190.37,192.74,237563
12/4/2023 16:00:00,188.34,189.11,187.05,187.37,331210
12/5/2023 16:00:00,187.7,188.98,187.5,187.99,199598
12/6/2023 16:00:00,191.59,192.9,189.81,189.89,326687
12/7/2023 16:00:00,190.43,190.76,187.91,190.24,281391
